nr_operating_band;ul_freq_low_mHz;ul_freq_high_mHz;dl_freq_low_mHz;dl_freq_high_mHz;duplex_mode;ul_arfcn_low;ul_arfcn_high;dl_arfcn_low;dl_arfcn_high
n1;1920;1980;2110;2170;FDD;384000;396000;422000;434000
n2;1850;1910;1930;1990;FDD;370000;382000;386000;398000
n3;1710;1785;1805;1880;FDD;342000;357000;361000;376000
n5;824;849;869;894;FDD;164800;169800;173800;178800
n7;2500;2570;2620;2690;FDD;500000;514000;524000;538000
n8;880;915;925;960;FDD;176000;183000;185000;192000
n12;699;716;729;746;FDD;139800;143200;145800;149200
n13;777;787;746;756;FDD;155400;157400;149200;151200
n14;788;798;758;768;FDD;157600;159600;151600;153600
n18;815;830;860;875;FDD;163000;166000;172000;175000
n20;832;862;791;821;FDD;166400;172400;158200;164200
n24;1626.5;1660.5;1525;1559;FDD;325300;332100;305000;311800
n25;1850;1915;1930;1995;FDD;370000;383000;386000;399000
n26;814;849;859;894;FDD;162800;169800;171800;178800
n28;703;748;758;803;FDD;140600;149600;151600;160600
n29;-1;-1;717;728;SDL;-1;-1;143400;145600
n30;2305;2315;2350;2360;FDD;461000;463000;470000;472000
n31;452.5;457.5;462.5;467.5;FDD;90500;91500;92500;93500
n34;2010;2025;2010;2025;TDD;402000;405000;402000;405000
n38;2570;2620;2570;2620;TDD;514000;524000;514000;524000
n39;1880;1920;1880;1920;TDD;376000;384000;376000;384000
n40;2300;2400;2300;2400;TDD;460000;480000;460000;480000
n41;2496;2690;2496;2690;TDD;499200;537999;499200;537999
n46;5150;5925;5150;5925;TDD;743334;795000;743334;795000
n47;5855;5925;5855;5925;TDD;790334;795000;790334;795000
n48;3550;3700;3550;3700;TDD;636667;646666;636667;646666
n50;1432;1517;1432;1517;TDD;286400;303400;286400;303400
n51;1427;1432;1427;1432;TDD;285400;286400;285400;286400
n53;2483.5;2495;2483.5;2495;TDD;496700;499000;496700;499000
n54;1670;1675;1670;1675;TDD;334000;335000;334000;335000
n65;1920;2010;2110;2200;FDD;334000;402000;422000;440000
n66;1710;1780;2110;2200;FDD;342000;356000;422000;440000
n67;-1;-1;738;758;SDL;-1;-1;147600;151600
n70;1695;1710;1995;2020;FDD;339000;342000;399000;404000
n71;663;698;617;652;FDD;132600;139600;123400;130400
n72;451;456;461;466;FDD;90200;91200;92200;93200
n74;1427;1470;1475;1518;FDD;285400;294000;295000;303600
n75;-1;-1;1432;1517;SDL;-1;-1;286400;303400
n76;-1;-1;1427;1432;SDL;-1;-1;285400;286400
n77;3300;4200;3300;4200;TDD;620000;680000;620000;680000
n78;3300;3800;3300;3800;TDD;620000;653333;620000;653333
n79;4400;5000;4400;5000;TDD;693334;733333;693334;733333
n80;1710;1785;-1;-1;SUL;342000;357000;-1;-1
n81;880;915;-1;-1;SUL;176000;183000;-1;-1
n82;832;862;-1;-1;SUL;166400;172400;-1;-1
n83;703;748;-1;-1;SUL;140600;149600;-1;-1
n84;1920;1980;-1;-1;SUL;384000;396000;-1;-1
n85;698;716;728;746;FDD;139600;143200;145600;149200
n86;1710;1780;-1;-1;SUL;342000;356000;-1;-1
n89;824;849;-1;-1;SUL;164800;169800;-1;-1
n90;2496;2690;2496;2690;TDD;499200;538000;499200;538000
n91;832;862;1427;1432;FDD;166400;172400;285400;286400
n92;832;862;1432;1517;FDD;166400;172400;286400;303400
n93;880;915;1427;1432;FDD;176000;183000;285400;286400
n94;880;915;1432;1517;FDD;176000;183000;286400;303400
n95;2010;2025;-1;-1;SUL;402000;405000;-1;-1
n96;5925;7125;5925;7125;TDD;795000;875000;795000;875000
n97;2300;2400;-1;-1;SUL;460000;480000;-1;-1
n98;1880;1920;-1;-1;SUL;376000;384000;-1;-1
n99;1626.5;1660.5;-1;-1;SUL;325300;332100;-1;-1
n100;874.4;880;919.4;925;FDD;174880;176000;183880;185000
n101;1900;1910;1900;1910;TDD;380000;382000;380000;382000
n102;5925;6425;5925;6425;TDD;795000;828333;795000;828333
n104;6425;7125;6425;7125;TDD;828334;875000;828334;875000
n105;663;703;612;652;FDD;132600;140600;122400;130400
n106;896;901;935;940;FDD;179200;180200;187000;188000
n109;703;733;1432;1517;FDD;140600;146600;286400;303400
n257;26500;29500;26500;29500;TDD;2054166;2104165;2054166;2104165
n258;24250;27500;24250;27500;TDD;2016667;2070832;2016667;2070832
n259;39500;43500;39500;43500;TDD;2270832;2337499;2270832;2337499
n260;37000;40000;37000;40000;TDD;2229166;2279165;2229166;2279165
n261;27500;28350;27500;28350;TDD;2070833;2084999;2070833;2084999
n262;47200;48200;47200;48200;TDD;2399166;2415832;2399166;2415832
n263;57000;71000;57000;71000;TDD;2564083;2794243;2564083;2794243
